HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank
57,Georgia,0.844,74.5,16.8,12.7,"20,753",18,55
58,Saint Kitts and Nevis,0.840,72.1,18.4,10.8,"29,105",1,60
59,Panama,0.839,79.6,13.3,10.8,"34,385",-6,57
60,Brunei Darussalam,0.837,75.3,13.7,9.3,"75,827",-51,63
60,Kazakhstan,0.837,74.4,14.0,12.5,"30,989",-4,59
62,Costa Rica,0.833,80.8,16.3,8.8,"23,417",6,65
62,Serbia,0.833,76.8,15.0,11.6,"23,115",7,61
64,Russian Federation,0.832,73.2,13.2,12.4,"39,222",-18,61
65,Belarus,0.824,74.4,13.7,12.3,"26,725",1,64
66,Bahamas,0.820,74.6,11.9,12.8,"30,975",-9,66
67,Malaysia,0.819,76.7,12.7,11.1,"32,553",-13,68
68,North Macedonia,0.815,77.4,14.8,10.2,"22,128",2,67
69,Armenia,0.811,75.7,14.4,11.3,"20,221",9,72
69,Barbados,0.811,76.2,16.6,9.9,"17,328",20,69
71,Albania,0.810,79.6,14.5,10.2,"17,627",16,70
72,Trinidad and Tobago,0.807,73.5,14.2,10.8,"27,000",-7,71
73,Mauritius,0.806,74.9,14.2,10.1,"27,280",-9,75
74,Bosnia and Herzegovina,0.804,77.9,13.2,11.0,"19,827",6,73
75,Iran (Islamic Republic of),0.799,77.7,14.0,10.8,"16,096",19,77
76,Saint Vincent and the Grenadines,0.798,71.2,16.3,11.3,"17,247",14,75
76,Thailand,0.798,76.4,15.4,9.0,"20,570",1,78
78,China,0.797,78.0,15.5,8.0,"22,029",-7,74
79,Peru,0.794,77.7,14.9,10.2,"14,339",23,79
80,Grenada,0.791,75.2,16.6,9.4,"14,349",21,80
81,Azerbaijan,0.789,74.4,12.9,11.1,"20,668",-5,82
81,Mexico,0.789,75.1,14.5,9.3,"21,813",-8,84
83,Colombia,0.788,77.7,14.3,9.0,"18,666",1,85
84,Brazil,0.786,75.8,15.8,8.4,"18,011",1,86
84,Palau,0.786,69.3,14.1,13.3,"16,035",11,81
86,Moldova (Republic of),0.785,71.2,14.6,11.8,"15,867",11,82
87,Ukraine,0.779,73.4,13.3,11.1,"16,933",5,90
88,Ecuador,0.777,77.4,14.9,9.0,"13,986",15,89
89,Dominican Republic,0.776,73.7,13.6,9.4,"22,024",-17,87
89,Guyana,0.776,70.2,13.0,8.7,"46,959",-54,95
89,Sri Lanka,0.776,77.5,13.1,10.8,"12,616",22,88
92,Tonga,0.769,72.9,17.8,10.9,"7,438",38,91
93,Maldives,0.766,81.0,12.8,7.4,"19,317",-11,91
93,Viet Nam,0.766,74.6,15.5,9.0,"13,033",14,91
95,Turkmenistan,0.764,70.1,13.2,11.2,"17,716",-9,96
96,Algeria,0.763,76.3,15.5,7.4,"15,114",3,96
97,Cuba,0.762,78.1,13.9,10.6,"8,415",30,91
98,Dominica,0.761,71.1,14.2,10.1,"16,001",-2,98
99,Paraguay,0.756,73.8,14.0,8.9,"15,252",-1,102
100,Egypt,0.754,71.6,13.1,10.1,"16,218",-7,100
100,Jordan,0.754,77.8,13.1,10.2,"9,222",22,100
102,Lebanon,0.752,77.8,11.7,10.4,"11,299",13,99
103,Saint Lucia,0.748,72.7,12.7,8.6,"20,900",-29,102
104,Mongolia,0.747,71.7,13.6,9.4,"14,787",-4,105
105,Tunisia,0.746,76.5,14.7,7.6,"12,011",9,104
106,South Africa,0.741,66.1,13.8,11.6,"13,694",0,107
107,Uzbekistan,0.740,72.4,12.5,11.9,"8,826",17,107
108,Bolivia (Plurinational State of),0.733,68.6,15.6,10.0,"9,445",13,113
108,Gabon,0.733,68.3,12.5,9.7,"18,854",-25,111
108,Marshall Islands,0.733,66.9,16.4,11.6,"7,224",23,110
111,Botswana,0.731,69.2,11.4,10.5,"16,984",-20,112
111,Fiji,0.731,67.3,13.8,10.4,"12,843",-3,114
113,Indonesia,0.728,71.1,13.3,8.7,"13,700",-8,114
114,Suriname,0.722,73.6,11.0,8.4,"17,344",-26,116
115,Belize,0.721,73.6,12.0,8.8,"12,343",-2,118
115,Libya,0.721,69.3,12.9,7.8,"19,831",-36,106
117,Jamaica,0.720,71.5,12.4,10.0,"10,057",2,117
117,Kyrgyzstan,0.720,71.7,12.7,12.1,"6,078",24,118
117,Philippines,0.720,69.8,12.8,10.0,"10,731",0,120
120,Morocco,0.710,75.3,15.1,6.2,"8,653",5,122
121,Venezuela (Bolivarian Republic of),0.709,72.5,13.0,9.7,"7,157",11,121
122,Samoa,0.708,71.7,12.4,11.3,"5,952",21,123
123,Nicaragua,0.706,74.9,11.5,9.9,"6,881",11,124
124,Nauru,0.703,62.1,12.8,9.4,"19,642",-43,125
125,Bhutan,0.698,73.0,13.2,5.8,"13,843",-21,126
126,Eswatini (Kingdom of),0.695,64.1,15.2,8.7,"9,919",-6,126
126,Iraq,0.695,72.3,12.4,6.8,"12,654",-16,126
128,Tajikistan,0.691,71.8,10.8,11.3,"5,747",17,129
129,Tuvalu,0.689,67.1,12.4,10.8,"7,006",4,130
130,Bangladesh,0.685,74.7,12.3,6.8,"8,498",-4,131
130,India,0.685,72.0,13.0,6.9,"9,047",-7,133
132,El Salvador,0.678,72.1,11.1,7.3,"10,595",-14,134
133,Equatorial Guinea,0.674,63.7,12.5,8.3,"12,762",-24,132
133,"Palestine, State of",0.674,65.2,13.0,10.1,"6,547",5,109
135,Cabo Verde,0.668,76.1,11.4,6.1,"8,165",-7,135
136,Namibia,0.665,67.4,11.8,7.3,"10,917",-20,137
137,Guatemala,0.662,72.6,10.7,5.8,"12,459",-25,136
138,Congo,0.649,65.8,12.7,8.3,"5,903",6,138
139,Honduras,0.645,72.9,10.2,7.5,"6,065",3,139
140,Kiribati,0.644,66.5,11.9,9.1,"4,947",11,140
141,Sao Tome and Principe,0.637,69.7,12.9,6.0,"5,583",6,141
